Эпоха [0/60] Итерация [0/51, Loss: 0.1770254373550415, Triplets: 28906\]

Эпоха [0/60] Итерация [50/51, Loss: 0.1782783418893814, Triplets: 14003\]

Val accuracy: 0.07663817663817664
Эпоха [1/60] Итерация [0/51, Loss: 0.1710136979818344, Triplets: 39584\]

Эпоха [1/60] Итерация [50/51, Loss: 0.16681703925132751, Triplets: 10463\]

Эпоха [2/60] Итерация [0/51, Loss: 0.1467725783586502, Triplets: 22972\]

Эпоха [2/60] Итерация [50/51, Loss: 0.16702404618263245, Triplets: 9149\]

Эпоха [3/60] Итерация [0/51, Loss: 0.15608736872673035, Triplets: 18928\]

Эпоха [3/60] Итерация [50/51, Loss: 0.15803617238998413, Triplets: 7203\]

Эпоха [4/60] Итерация [0/51, Loss: 0.15778934955596924, Triplets: 13607\]

Эпоха [4/60] Итерация [50/51, Loss: 0.12635982036590576, Triplets: 10074\]

Эпоха [5/60] Итерация [0/51, Loss: 0.15419422090053558, Triplets: 12815\]

Эпоха [5/60] Итерация [50/51, Loss: 0.16224701702594757, Triplets: 4598\]

Val accuracy: 0.23390313390313391
Эпоха [6/60] Итерация [0/51, Loss: 0.13798752427101135, Triplets: 12436\]

Эпоха [6/60] Итерация [50/51, Loss: 0.1545741707086563, Triplets: 6055\]

Эпоха [7/60] Итерация [0/51, Loss: 0.13421355187892914, Triplets: 9406\]

Эпоха [7/60] Итерация [50/51, Loss: 0.14445826411247253, Triplets: 6163\]

Эпоха [8/60] Итерация [0/51, Loss: 0.1426422894001007, Triplets: 8613\]

Эпоха [8/60] Итерация [50/51, Loss: 0.1264389604330063, Triplets: 5949\]

Эпоха [9/60] Итерация [0/51, Loss: 0.16777671873569489, Triplets: 8279\]

Эпоха [9/60] Итерация [50/51, Loss: 0.12858286499977112, Triplets: 4016\]

Эпоха [10/60] Итерация [0/51, Loss: 0.12412607669830322, Triplets: 6045\]

Эпоха [10/60] Итерация [50/51, Loss: 0.118336021900177, Triplets: 4051\]

Val accuracy: 0.36524216524216524
Эпоха [11/60] Итерация [0/51, Loss: 0.12334581464529037, Triplets: 8190\]

Эпоха [11/60] Итерация [50/51, Loss: 0.12490399181842804, Triplets: 4211\]

Эпоха [12/60] Итерация [0/51, Loss: 0.13086406886577606, Triplets: 7165\]

Эпоха [12/60] Итерация [50/51, Loss: 0.1490708440542221, Triplets: 4146\]

Эпоха [13/60] Итерация [0/51, Loss: 0.13436904549598694, Triplets: 5722\]

Эпоха [13/60] Итерация [50/51, Loss: 0.12191226333379745, Triplets: 2981\]

Эпоха [14/60] Итерация [0/51, Loss: 0.13003389537334442, Triplets: 6379\]

Эпоха [14/60] Итерация [50/51, Loss: 0.13522440195083618, Triplets: 3673\]

Эпоха [15/60] Итерация [0/51, Loss: 0.13915583491325378, Triplets: 5602\]

Эпоха [15/60] Итерация [50/51, Loss: 0.1275772750377655, Triplets: 2496\]

Val accuracy: 0.46296296296296297
Эпоха [16/60] Итерация [0/51, Loss: 0.1490229219198227, Triplets: 6454\]

Эпоха [16/60] Итерация [50/51, Loss: 0.148835688829422, Triplets: 2498\]

Эпоха [17/60] Итерация [0/51, Loss: 0.13569332659244537, Triplets: 5466\]

Эпоха [17/60] Итерация [50/51, Loss: 0.12205692380666733, Triplets: 2722\]

Эпоха [18/60] Итерация [0/51, Loss: 0.1381884068250656, Triplets: 7263\]

Эпоха [18/60] Итерация [50/51, Loss: 0.11578056961297989, Triplets: 1965\]

Эпоха [19/60] Итерация [0/51, Loss: 0.125710591673851, Triplets: 3653\]

Эпоха [19/60] Итерация [50/51, Loss: 0.13008759915828705, Triplets: 1865\]

Эпоха [20/60] Итерация [0/51, Loss: 0.11898452788591385, Triplets: 3587\]

Эпоха [20/60] Итерация [50/51, Loss: 0.13990773260593414, Triplets: 2002\]

Val accuracy: 0.5188034188034188
Эпоха [21/60] Итерация [0/51, Loss: 0.16080239415168762, Triplets: 3295\]

Эпоха [21/60] Итерация [50/51, Loss: 0.14259439706802368, Triplets: 1949\]

Эпоха [22/60] Итерация [0/51, Loss: 0.1289054900407791, Triplets: 2651\]

Эпоха [22/60] Итерация [50/51, Loss: 0.13590024411678314, Triplets: 2124\]

Эпоха [23/60] Итерация [0/51, Loss: 0.12497419118881226, Triplets: 3042\]

Эпоха [23/60] Итерация [50/51, Loss: 0.12318918108940125, Triplets: 1768\]

Эпоха [24/60] Итерация [0/51, Loss: 0.11399431526660919, Triplets: 3419\]

Эпоха [24/60] Итерация [50/51, Loss: 0.10959891974925995, Triplets: 1378\]

Эпоха [25/60] Итерация [0/51, Loss: 0.10395805537700653, Triplets: 2730\]

Эпоха [25/60] Итерация [50/51, Loss: 0.11330056935548782, Triplets: 1419\]

Val accuracy: 0.5709401709401709
Эпоха [26/60] Итерация [0/51, Loss: 0.14760175347328186, Triplets: 4092\]

Эпоха [26/60] Итерация [50/51, Loss: 0.10838976502418518, Triplets: 1442\]

Эпоха [27/60] Итерация [0/51, Loss: 0.1415693759918213, Triplets: 2880\]
